date,vaccination.pfizer.delivered,vaccination.moderna.delivered,vaccination.az.delivered,vaccination.janssen.delivered,vaccination.novavax.delivered
2020-12-26,11700,,,,
2020-12-30,8190,,,,
2021-01-04,19890,,,,
2021-01-11,19890,,,,
2021-01-12,,1200,,,
2021-01-18,9360,,,,
2021-01-25,19890,,,,
2021-01-31,,2400,,,
2021-02-01,17550,,,,
2021-02-05,,4800,,,
2021-02-06,,,9600,,
2021-02-09,17550,,,,
2021-02-11,,,9600,,
2021-02-15,21060,,,,
2021-02-18,,,16800,,
2021-02-22,22230,,,,
2021-02-25,,8400,16800,,
2021-03-01,19890,,,,
2021-03-04,,,21600,,
2021-03-08,19890,,,,
2021-03-11,,,14400,,
2021-03-12,,12000,,,
2021-03-15,19890,,,,
2021-03-19,,,4800,,
2021-03-22,29250,,,,
2021-03-25,,18000,,,
2021-03-26,,,4800,,
2021-03-29,29250,,,,
2021-04-01,,,45600,,
2021-04-07,40950,,,,
2021-04-08,,14400,,,
2021-04-12,40950,,4800,,
2021-04-14,,,,7200,
2021-04-19,42120,,16800,,
2021-04-24,,8400,,,
2021-04-26,64350,,2400,,
2021-04-29,,9600,,,
2021-04-30,,,69600,6000,
2021-05-03,56160,,,,
2021-05-06,,14400,,,
2021-05-10,58500,,,,
2021-05-12,,,14400,,
2021-05-13,,14400,,6000,
2021-05-17,59670,,,,
2021-05-20,,14400,12000,,
2021-05-21,,,,7200,
2021-05-24,58500,,,,
2021-05-27,,14400,,,
2021-05-28,,,62400,19200,
2021-05-31,105300,,,,
2021-06-02,,,300000,12000,
2021-06-04,,14400,,,
2021-06-07,92430,,,,
2021-06-11,,,,12000,
2021-06-14,92430,14400,16800,,
2021-06-17,,14400,,,
2021-06-21,120510,,24000,,
2021-06-24,,14400,,12000,
2021-06-28,109980,,,,
2021-06-29,,,127200,,
2021-06-30,,15600,,,
2021-07-02,,,,16800,
2021-07-05,72540,,,,
2021-07-07,,12000,,,
2021-07-09,,,24000,9600,
2021-07-12,72540,,-250000,,
2021-07-14,,12000,,,
2021-07-15,,,12000,,
2021-07-19,72540,,,,
2021-07-21,,,-48000,,
2021-07-23,,12000,28800,,
2021-07-26,72540,,,,
2021-07-29,,,40800,,
2021-07-30,,12000,,12000,
2021-08-02,67860,,,,
2021-08-06,,12000,7200,,
2021-08-09,67860,,,,
2021-08-11,,12000,,,
2021-08-12,,,7200,,
2021-08-16,69030,,,,
2021-08-19,,24000,50400,,
2021-08-23,69030,,,,
2021-08-26,,24000,,,
2021-08-30,57330,,72600,,
2021-09-02,,,-150000,,
2021-09-03,,,4800,,
2021-09-06,59670,,,,
2021-09-09,,,7200,,
2021-09-10,,,-200000,,
2021-09-13,38610,,,,
2021-09-15,,,,9600,
2021-09-16,,,28800,,
2021-09-20,39780,,,,
2021-09-22,,,,21600,
2021-09-27,93600,,,,
2021-09-28,,,-100000,,
2021-09-29,,,40800,21600,
2021-10-04,18720,,,,
2021-10-05,,,,24000,
2021-10-12,,,,33600,
2021-10-14,18720,,,,
2021-10-18,19890,,,,
2021-10-25,19890,,,,
2021-11-10,36270,,,,
2021-11-17,,,4800,,
2021-11-19,74880,,,,
2021-11-22,36270,,,,
2021-11-26,,62400,,,
2021-12-02,73710,,,,
2021-12-06,74880,,,,
2021-12-13,134880,,,,
2021-12-16,,94400,,,
2021-12-23,,95800,,,
2022-01-04,101370,,,,
2022-01-06,,7200,,,
2022-01-10,102540,,,,
2022-01-17,102540,,,,
2022-01-28,,22800,,,
2022-01-31,77820,,,,
2022-02-07,77820,,,,
2022-02-14,78990,,,,
2022-02-21,71820,,,,
2022-02-25,,30000,,,
2022-03-01,,,,,36000
2022-03-07,67050,,,,
2022-03-09,,,,,24000
2022-03-14,77220,,,,
2022-03-16,,,,,24000
2022-03-21,77220,,,,
2022-03-28,,30000,,,
2022-04-07,,1200,,,
2022-04-14,,1200,,,
2022-04-19,56160,,,,
2022-04-26,153270,,,,
2022-04-29,,1200,,,
2022-05-19,,20200,,,
2022-06-20,,18000,,,
